Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare,cost-of-debt,cost-of-equity,WACC,ROIC,ROIC-WACC
PRU,Common Stock,Prudential Financial Inc,"Prudential Financial, Inc. is an American company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail and institutional customers throughout the United States and in over 40 other countries.",1137774,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"751 BROAD ST, NEWARK, NJ, US",https://www.prudential.com,December,2024-09-30,43541041000,5557334000,10.89,0.518,85.45,5.15,0.0429,11.23,203.38,0.0562,0.0284,0.0045,0.138,72965997000,18767000000,11.23,1.377,1.334,126.14,0,2,12,0,1,10.89,8.29,0.597,1.418,0.87,-,1.282,130.55,97.32,121.55,119.19,355931000,2024-12-12,2024-11-19,122.33,0.05581762771673751,0.14826499999999998,0.11,0.12,0.0
HES,Common Stock,Hess Corporation,Hess Corporation (formerly Amerada Hess Corporation) is an American global independent energy company involved in the exploration and production of crude oil and natural gas.,4447,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"1185 AVENUE OF THE AMERICAS, NEW YORK, NY, US",https://www.hess.com,December,2024-09-30,44726411000,6985000000,16.9,0.787,35.24,0,0.0138,8.59,40.65,0.212,0.333,0.115,0.288,12463000000,9610000000,8.59,-0.012,0.133,168.29,3,5,8,0,0,16.9,14.47,3.589,4.13,4.117,7.46,1.16,162.26,122.87,141.56,143.39,308118000,2024-12-31,2024-12-16,145.16,0.043843027980959015,0.1382,0.12,0.13,0.01
AME,Common Stock,Ametek Inc,"AMETEK, Inc. is an American global manufacturer of electronic instruments and electromechanical devices with a headquarters in the United States and over 220 manufacturing sites worldwide.",1037868,NYSE,USD,USA,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL","1100 CASSATT ROAD, BERWYN, PA, US",https://www.ametek.com,December,2024-09-30,42218336000,2138389000,31.8,2.815,41.29,1.09,0.0061,5.74,29.89,0.193,0.256,0.0789,0.149,6910463000,2446753000,5.74,0,0.053,200.26,1,10,4,1,1,31.8,25.32,6.11,4.43,6.4,20.79,1.163,198.04,148.57,186.85,174.34,231308000,2024-12-20,2024-12-06,182.52,0.019502349135179623,0.1384475,0.13,0.11,-0.02
DFS,Common Stock,Discover Financial Services,"Discover Financial Services is an American financial services company that owns and operates Discover Bank, which offers checking and savings accounts, personal loans, home equity loans, student loans and credit cards. It also owns and operates the Discover and Pulse networks, and owns Diners Club International. Discover is currently headquartered in the Chicago suburb of Riverwoods, Illinois.",1393612,NYSE,USD,USA,FINANCE,PERSONAL CREDIT INSTITUTIONS,"2500 LAKE COOK ROAD, RIVERWOODS, IL, US",https://www.discover.com,December,2024-09-30,50521051000,None,11.34,3.421,68.77,0,0.0142,17.72,46.56,0.273,0.343,0.0216,0.203,11686000000,11082000000,17.72,0.426,0.605,210.85,1,3,12,0,0,11.34,15.38,4.323,2.818,3.728,-,1.402,205.76,101.96,179.92,145.97,251311000,2025-03-06,2024-11-21,201.03,0.18217482143724795,0.15816499999999997,0.17,0.29,0.12
VLO,Common Stock,Valero Energy Corporation,"Valero Energy Corporation is a Fortune 500 international manufacturer and marketer of transportation fuels, other petrochemical products, and power. It is headquartered in San Antonio, Texas, United States.",1035002,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"P.O. BOX 696000, SAN ANTONIO, TX, US",https://www.valero.com,December,2024-09-30,44157272000,7816000000,12.27,0.213,79.77,4.23,0.0327,11.37,393.97,0.0287,0.0168,0.0511,0.138,128730997000,7519000000,11.37,-0.848,-0.152,147.33,5,8,6,0,1,12.27,16.89,0.343,1.749,0.37,6.03,1.374,179.47,115.89,132.31,144.11,316585000,2025-03-03,2025-01-30,139.48,0.05073551746582773,0.155855,0.14,0.32,0.18
HLN,Common Stock,Haleon plc,None,1900304,NYSE,USD,USA,LIFE SCIENCES,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS","BUILDING 5, FIRST FLOOR, THE HEIGHTS, WEYBRIDGE, UNITED KINGDOM",https://www.haleon.com,December,2024-06-30,43089707000,2685500000,28.88,1.686,1.818,0.062,0.0166,0.33,2.446,0.107,0.254,0.0445,0.0682,11239999000,6991000000,0.33,0.348,-0.006,10.46,1,2,1,0,0,28.88,20.24,3.834,2.083,3.78,19.12,0.24,10.8,7.83,9.52,9.32,4521480000,2024-09-19,2024-08-16,9.53,0.03458756345177665,0.0623,0.06,0.06,0.01
KDP,Common Stock,Keurig Dr Pepper Inc,"Keurig Dr Pepper Inc. is a beverage company in the United States and internationally. The company is headquartered in Burlington, Massachusetts.",1418135,NASDAQ,USD,USA,MANUFACTURING,BEVERAGES,"5301 LEGACY DRIVE, PLANO, TX, US",https://www.keurigdrpepper.com,December,2024-09-30,43216499000,4230000000,19.19,2.261,18.41,0.875,0.0294,1.66,11.04,0.15,0.232,0.0419,0.0905,15148000000,8436000000,1.66,0.216,0.023,36.95,3,7,9,0,0,19.19,15.6,2.853,1.731,3.908,13.93,0.634,37.77,27.86,32.12,33.95,1356450000,2025-01-17,2025-01-03,31.86,0.026432811656772803,0.094805,0.08,0.06,-0.01
