Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare,ROIC-WACC
ITW,Common Stock,Illinois Tool Works Inc,"Illinois Tool Works Inc. or ITW is an American company that produces engineered fasteners and components, equipment and consumable systems, and specialty products.",49826,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"155 HARLEM AVENUE, GLENVIEW, IL, US",https://www.itw.com,December,2024-09-30,76748464000,4652000000,22.52,2.965,11.48,5.7,0.0231,11.54,53.48,0.217,0.268,0.17,1.08,15949000000,7000000000,11.54,0.533,-0.016,264.31,1,2,12,4,2,22.52,24.21,4.812,22.63,5.28,16.66,1.109,277.49,228.93,264.33,252.57,295300000,2025-01-10,2024-12-31,259.90,0.19
ZTS,Common Stock,Zoetis Inc,"Zoetis Inc. is an American drug company, the world's largest producer of medicine and vaccinations for pets and livestock.",1555280,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"10 SYLVAN WAY, PARSIPPANY, NJ, US",https://www.zoetis.com,December,2024-09-30,76070928000,3764000000,31.63,2.623,11.59,1.671,0.0119,5.33,20.06,0.266,0.385,0.147,0.473,9152000000,6415000000,5.33,0.163,0.11,210.66,5,10,5,0,0,31.63,29.07,8.31,14.53,8.86,21.44,0.896,199.25,143.68,170.94,176.08,451165000,2025-03-04,2025-01-21,168.61,0.1
CL,Common Stock,Colgate-Palmolive Company,"Colgate-Palmolive Company is an American multinational consumer products company headquartered on Park Avenue in Midtown Manhattan, New York City. It specializes in the production, distribution and provision of household, health care, personal care and veterinary products.",21665,NYSE,USD,USA,LIFE SCIENCES,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS","300 PARK AVE, NEW YORK, NY, US",https://www.colgatepalmolive.com,December,2024-09-30,71798923000,4894000000,25.25,1.985,0.532,1.96,0.0228,3.48,24.49,0.143,0.21,0.163,0.488,20106000000,12148000000,3.48,0.049,0.024,101.0,6,7,8,1,1,25.25,22.83,3.571,165.06,3.929,17.25,0.415,108.14,80.92,91.88,96.17,817011000,2025-02-14,2025-01-21,87.88,0.31
RIO,Common Stock,Rio Tinto ADR,"Rio Tinto Group is dedicated to the exploration, extraction and processing of mineral resources worldwide. The company is headquartered in London, the United Kingdom.",863064,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"6 ST JAMES'S SQUARE, LONDON, SW1Y 4AD, GB",https://www.riotinto.com,December,2024-06-30,98943517000,19645000000,9.44,0,34.05,4.349,0.0701,6.58,33.4,0.198,0.288,0.0923,0.197,54175998000,16871999000,6.58,0.133,0.005,80,1,5,0,0,0,9.44,8.66,1.826,1.825,1.929,4.693,0.617,72.15,57.85,61.13,64.99,1252920000,2024-09-26,2024-08-16,78.97,0.09
BP,Common Stock,BP PLC ADR,"BP plc participates in the energy business globally. The company is headquartered in London, the United Kingdom.",313807,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"1 ST JAMES'S SQUARE, LONDON, GB",https://www.bp.com,December,2024-09-30,82432344000,31693001000,31.45,13.74,3.972,0.305,0.061,1,17.5,0.014,0.0784,0.0301,0.0392,193929003000,51953000000,1,-0.955,-0.113,37.33,4,5,8,0,0,31.45,7.94,0.425,1.272,0.589,3.945,0.506,38.74,27.82,29.78,33.43,2621060000,2024-12-20,2024-11-08,31.45,0.14
SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2024-09-30,76274565000,5955900000,25.2,1.2,11.11,2.37,0.029,3.83,13.95,0.277,0.495,0.181,0.362,10944600000,6250800000,3.83,0.452,0.17,100.03,0,3,7,3,5,25.2,20.24,6.97,8.55,7.34,13.23,1.188,126.72,75.59,97.96,106.48,790410000,2024-11-21,2024-11-06,96.50,0.13
