Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare,cost-of-debt,cost-of-equity,WACC,ROIC,ROIC-WACC
NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US",https://www.nvidia.com,January,2024-10-31,2940514337000,61184000000,47.46,0.861,1.744,0,0.0003,2.53,3.91,0.55,0.621,0.553,1.238,96307003000,73170002000,2.53,1.68,1.224,173.78,12,48,4,0,0,47.46,28.09,30.53,44.62,25.71,38.9,1.657,153.13,66.23,137.28,122.49,24490000000,2024-12-27,2024-09-12,120.07,0.02,0.18,0.18,0.59,0.41
MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",https://www.microsoft.com,June,2024-12-31,3085547602000,136551997000,33.45,2.219,36.12,0,0.0075,12.41,34.2,0.356,0.466,0.146,0.356,254189994000,176278995000,12.41,0.104,0.16,507.09,13,38,5,0,0,33.45,31.85,12.14,10.19,11.75,21.53,0.904,466.57,384.12,431.36,425.73,7433980000,2025-03-13,2025-02-20,415.06,0.03,0.12,0.12,0.24,0.12
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",https://www.aboutamazon.com,December,2024-09-30,2499205136000,111583003000,50.79,1.953,24.66,None,None,4.68,59.49,0.0804,0.11,0.0707,0.226,620127977000,300180013000,4.68,0.521,0.11,248.9,18,44,3,0,1,50.79,38.02,4.03,9.64,4.105,22.43,1.146,241.77,151.61,221.88,194.4,10515000000,None,None,237.68,0.04,0.14,0.13,0.16,0.03
AVGO,Common Stock,Broadcom Inc,"Broadcom Inc. is an American designer, developer, manufacturer and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, and storage and industrial markets.",1730168,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1320 RIDDER PARK DRIVE, SAN JOSE, CA, US",https://www.broadcom.com,October,2024-10-31,1037172146000,22958000000,172.87,0.627,59.22,0,0.0117,1.28,10.43,0.109,0.318,0.077,0.125,46814999000,34977001000,1.28,1.881,0.164,243.02,8,30,5,0,0,172.87,34.84,22.15,15.33,21.24,45.87,1.187,251.21,118.67,207.9,170.0,4687360000,2024-12-31,2024-09-19,221.27,0.02,0.14,0.13,0.05,-0.07
LLY,Common Stock,Eli Lilly and Company,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries.",59478,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"LILLY CORPORATE CTR, DROP CODE 1094, INDIANAPOLIS, IN, US",https://www.lilly.com,December,2024-09-30,729417187000,16566500000,87.68,0.77,15.82,5.03,0.0074,9.25,45.37,0.205,0.398,0.14,0.653,40863302000,33060801000,9.25,0.682,0.204,972.77,6,16,6,0,1,87.68,35.71,17.85,51.22,18.53,60.49,0.43,970.92,678.1,780.45,840.36,899316000,2025-03-10,2025-02-14,811.08,0.02,0.08,0.08,0.17,0.09
WMT,Common Stock,Walmart Inc,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. It also owns and operates Sam's Club retail warehouses.",104169,NYSE,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"702 SOUTHWEST 8TH ST, BENTONVILLE, AR, US",https://corporate.walmart.com,January,2024-10-31,788557595000,40779002000,40.56,2.957,10.41,0,0.0099,2.42,82.5,0.0234,0.0469,0.0695,0.185,665035014000,163785998000,2.42,-0.423,0.048,100.14,13,25,3,1,0,40.56,35.59,1.186,8.95,1.247,19.87,0.516,99,55.19,92.63,77.16,8033390000,2025-01-06,2024-12-12,98.16,0.05,0.09,0.08,0.19,0.1
JPM,Common Stock,JPMorgan Chase & Co,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is incorporated in Delaware. As a Bulge Bracket bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions.",19617,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"383 MADISON AVENUE, NEW YORK, NY, US",https://www.jpmorganchase.com,December,2024-12-31,747798462000,None,13.53,7.26,115.15,0,0.0202,19.75,56.04,0.332,0.438,0.0133,0.162,162148008000,162148008000,19.75,0.009,0.03,265.55,7,6,7,2,0,13.53,14.53,4.612,2.303,6.81,-,1.091,270.82,168.76,247.67,218.31,2797600000,2025-01-31,2025-01-06,267.30,0.15,0.13,0.14,0.71,0.57
