Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare,ROIC-WACC
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",https://www.aboutamazon.com,December,2024-09-30,2469447860000,111583003000,50.18,1.93,24.66,None,None,4.68,59.49,0.0804,0.11,0.0707,0.226,620127977000,300180013000,4.68,0.521,0.11,248.35,18,46,3,0,1,50.18,37.59,3.982,9.53,4.057,22.17,1.146,236.4,151.61,219.1,193.14,10515000000,None,None,234.85,0.03
GOOG,Common Stock,Alphabet Inc Class C,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-09-30,2460131262000,123469996000,26.81,1.306,25.61,0.4,0.004,7.53,27.44,0.277,0.323,0.165,0.321,339859014000,197550998000,7.53,0.366,0.151,216,15,36,11,0,0,26.81,22.68,7.24,7.78,6.96,18.68,1.034,203.84,131.08,186.41,174.04,5534000000,2024-12-16,2024-12-09,444.55,0.12
GOOGL,Common Stock,Alphabet Inc Class A,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google remained as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.",1652044,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, US",https://abc.xyz,December,2024-09-30,2459720221000,123469996000,26.55,1.31,25.61,0.4,0.004,7.54,27.44,0.277,0.323,0.165,0.321,339859014000,197550998000,7.54,0.366,0.151,215.1,15,36,11,0,0,26.55,22.73,7.24,7.8,7.04,18.9,1.034,202.29,130.19,185.35,172.75,5843000000,2024-12-16,2024-12-09,420.97,0.12
META,Common Stock,Meta Platforms Inc.,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, PCs, virtual reality headsets, wearables and home devices around the world. The company is headquartered in Menlo Park, California.",1326801,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1601 WILLOW ROAD, MENLO PARK, CA, US",https://investor.fb.com,December,2024-09-30,1634582004000,79208997000,30.59,1.415,65.19,1.5,0.0031,21.17,61.43,0.355,0.428,0.172,0.361,156226994000,127327003000,21.17,0.374,0.189,669.38,12,46,8,0,2,30.59,25,10.46,9.77,10.14,20.13,1.215,652,385.63,598.63,535.93,2180000000,2024-12-27,2024-12-16,749.81,0.15
TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",https://www.tesla.com,December,2024-09-30,1305146163000,13244000000,110.78,4.933,21.81,None,None,3.67,30.46,0.131,0.108,0.0476,0.204,97150001000,17709001000,3.67,0.17,0.078,317.49,6,14,15,8,5,110.78,119.05,13.43,18.93,13.41,94.18,2.295,488.54,138.8,391.22,256.45,3210060000,None,None,406.58,-0.07
