Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare,cost-of-debt,cost-of-equity,WACC,ROIC,ROIC-WACC
AXP,Common Stock,American Express Company,The American Express Company is a multinational financial services corporation headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,4962,NYSE,USD,USA,FINANCE,FINANCE SERVICES,"200 VESEY STREET, 50TH FLOOR, NEW YORK, NY, US",https://www.americanexpress.com,December,2024-09-30,225012056000,None,22.86,1.985,42.2,0,0.0086,14.02,82.53,0.167,0.209,0.0379,0.347,59238998000,32995000000,14.02,0.058,0.08,313.38,4,6,15,4,0,22.86,20.66,3.798,7.33,4.137,-,1.214,326.27,205.33,304.86,264.4,702000000,2025-02-10,2025-01-03,320.53,0.11,0.14,0.14,0.44,0.3
DIS,Common Stock,Walt Disney Company,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",1744489,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, US",https://www.thewaltdisneycompany.com,September,2024-12-31,199907181000,16751000000,40.64,0.971,55.41,0,0.0082,2.72,49.21,0.053,0.149,0.0362,0.0546,90027999000,31832001000,2.72,0.486,0.037,124.6,6,15,10,1,0,40.64,20.49,2.22,1.96,2.591,15.55,1.398,122.63,83.54,112.62,101.53,1808460000,2025-07-23,2024-07-08,110.54,-0.04,0.16,0.12,0.03,-0.1
MS,Common Stock,Morgan Stanley,"Morgan Stanley is an American multinational investment bank and financial services company headquartered at 1585 Broadway in the Morgan Stanley Building, Midtown Manhattan, New York City.",895421,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","1585 BROADWAY, NEW YORK, NY, US",https://www.morganstanley.com,December,2024-12-31,223260508000,None,17.48,3.657,58.25,0,0.0283,7.95,36.49,0.192,0.332,0.0094,0.111,58282000000,50440999000,7.95,0.362,0.165,137.33,1,4,16,0,1,17.48,16.1,3.831,2.341,4.792,-,1.336,141.4,80.42,130.48,110.34,1607000000,2025-02-14,2024-10-31,138.93,0.13,0.15,0.14,0.16,0.02
IBM,Common Stock,International Business Machines,"International Business Machines Corporation (IBM) is an American multinational technology company headquartered in Armonk, New York, with operations in over 170 countries. The company began in 1911, founded in Endicott, New York, as the Computing-Tabulating-Recording Company (CTR) and was renamed International Business Machines in 1924. IBM is incorporated in New York. IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology. IBM is also a major research organization, holding the record for most annual U.S. patents generated by a business (as of 2020) for 28 consecutive years. Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM). The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.",51143,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",https://www.ibm.com,December,2024-12-31,244531692000,14676000000,41.14,1.421,26.44,0,0.0292,6.4,68.11,0.102,0.141,0.0473,0.267,62579999000,35378999000,6.4,0.141,0.015,249.76,2,5,9,2,1,41.14,24.04,3.908,8.92,4.578,23.59,0.71,265.72,158.38,227.95,201.86,924645000,2025-03-10,2025-02-10,264.46,0.01,0.1,0.07,0.06,-0.01
MCD,Common Stock,McDonald’s Corporation,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona.",63908,NYSE,USD,USA,TRADE & SERVICES,RETAIL-EATING PLACES,"110 NORTH CARPENTER STREET, CHICAGO, IL, US",https://www.mcdonalds.com,December,2024-09-30,206981349000,13845500000,25.36,2.624,-7.22,6.68,0.0244,11.39,36.01,0.318,0.47,0.136,0,25938700000,14685500000,11.39,-0.013,0.027,321.07,6,17,13,0,1,25.36,23.04,7.98,-,10.02,18.76,0.735,316.0,240.66,291.18,281.19,716620000,2024-12-16,2024-12-02,288.83,0.03,0.1,0.09,0.29,0.2
BABA,Common Stock,Alibaba Group Holding Ltd,"Alibaba Group Holding Limited, also known as Alibaba Group and Alibaba.com, is a Chinese multinational technology company specializing in e-commerce, retail, Internet, and technology. Founded on 28 June 1999 in Hangzhou, Zhejiang, the company provides consumer-to-consumer (C2C), business-to-consumer (B2C), and business-to-business (B2B) sales services via web portals, as well as electronic payment services, shopping search engines and cloud computing services. It owns and operates a diverse portfolio of companies around the world in numerous business sectors.",1577552,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","26/F TOWER ONE, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY, HK",https://www.alibabagroup.com,March,2024-09-30,238108197000,176592994000,20.26,0.655,405.38,0,0.0221,4.9,382.18,0.0738,0.161,0.0468,0.0567,950248014000,360165999000,4.9,-0.257,0.039,120.35,8,26,7,0,0,20.26,10.29,0.251,1.776,1.584,10.3,0.349,117.82,67.78,87.2,85.63,2375950000,2024-07-12,2024-06-13,100.22,0.07,0.07,0.07,0.1,0.03
AZN,Common Stock,AstraZeneca PLC ADR,"AstraZeneca PLC discovers, develops, manufactures and markets prescription drugs in the areas of oncology, cardiovascular, renal and metabolism, respiratory, infections, neuroscience and gastroenterology worldwide. The company is headquartered in Cambridge, the United Kingdom.",901832,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 FRANCIS CRICK AVENUE, CAMBRIDGE BIOMEDICAL CAMPUS, CAMBRIDGE, GB",https://www.astrazeneca.com,December,2024-09-30,219980775000,18390999000,34.1,0.785,26.27,2.97,0.0209,2.08,2.742,0.127,0.204,0.085,0.167,51206001000,42298999000,2.08,0.034,0.18,86.12,4,6,1,0,0,34.1,15.53,4.296,5.4,4.687,16.14,0.18,87.67,59.19,67.07,74.98,3101160000,2024-09-09,2024-08-09,70.93,0.04,0.06,0.06,0.11,0.05
PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2024-09-30,203651613000,15301000000,20.79,1.625,-6.24,5.25,0.0414,6.3,23.96,0.264,0.434,0.131,0,37219000000,23847999000,6.3,0.493,0.084,136.93,5,6,3,1,0,20.79,18.87,5.47,-,6.68,16.44,0.56,146.78,84.19,125.9,116.14,1554830000,2025-01-13,2024-12-26,130.98,0.02,0.09,0.07,0.16,0.09
