Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare,cost-of-debt,cost-of-equity,WACC,ROIC,ROIC-WACC
KO,Common Stock,The Coca-Cola Company,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups.",21344,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"ONE COCA COLA PLAZA, ATLANTA, GA, US",https://www.coca-colacompany.com,December,2024-09-30,272899129000,14831000000,26.29,2.708,6.15,1.915,0.0306,2.41,10.75,0.225,0.302,0.0844,0.372,46365999000,28021000000,2.41,-0.07,-0.008,71.71,7,13,6,0,0,26.29,21.64,5.89,10.31,6.5,19.49,0.62,72.48,56.66,62.67,65.25,4307800000,2024-12-16,2024-11-29,63.35,0.03,0.09,0.08,0.2,0.11
MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2024-09-30,252432777000,22927999000,20.88,0.0697,17.58,3.04,0.0328,4.78,24.93,0.192,0.262,0.105,0.283,63174001000,48388002000,4.78,-0.333,0.044,123.97,5,14,7,0,0,20.88,10.24,3.996,5.62,4.33,14.22,0.411,132.67,87.33,99.61,114.42,2529640000,2025-04-07,2025-03-17,99.79,0.03,0.08,0.07,0.04,-0.03
WFC,Common Stock,Wells Fargo & Company,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.",72971,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"420 MONTGOMERY STREET, SAN FRANCISCO, CA, US",https://www.wellsfargo.com,December,2024-12-31,256997769000,None,14.55,3.484,49.22,0,0.0225,5.37,22.23,0.232,0.32,0.0095,0.0991,77875003000,77875003000,5.37,-0.041,-0.018,83.71,5,9,8,0,1,14.55,13.59,3.3,1.615,6.8,-,1.136,79.85,46.55,73.66,62.9,3288940000,2025-03-01,2024-11-08,78.14,0.09,0.14,0.11,0.17,0.06
TM,Common Stock,Toyota Motor Corporation ADR,"Toyota Motor Corporation designs, manufactures, assembles and sells passenger cars, minivans and commercial vehicles, and related parts and accessories. The company is headquartered in Toyota, Japan.",1094517,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"1 TOYOTA CHO TOYOTA CITY, AICHI PREFECTURE 471-8571, JAPAN, JP",https://global.toyota/en,March,2024-09-30,245582266000,7038522884000,8.99,1.539,2613.62,85,0.0275,20.42,2155.74,0.0919,0.101,0.038,0.126,46396157723000,9035694735000,20.42,-0.546,0.001,220.12,1,1,1,0,0,8.99,9.71,0.0053,1.117,1.323,7.27,0.404,250.58,156.78,181.83,191.14,1309590000,2024-12-06,2024-09-30,187.53,0.0,0.08,0.0,0.08,0.08
CSCO,Common Stock,Cisco Systems Inc,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware.",858877,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"170 WEST TASMAN DR, SAN JOSE, CA, US",https://www.cisco.com,July,2024-10-31,244302496000,13752001000,26.33,2.741,11.35,1.19,0.0262,2.33,13.16,0.177,0.17,0.0628,0.208,52976001000,34391998000,2.33,-0.237,-0.056,63.58,4,8,15,0,1,26.33,16.72,4.612,5.37,4.84,17.97,0.819,62.31,43.86,59.32,52.16,3982760000,2025-01-22,2025-01-03,61.34,0.03,0.11,0.1,0.14,0.04
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",https://www.amd.com,December,2024-09-30,185438487000,4479000000,102.03,0.321,35.11,None,None,1.12,15.01,0.0752,0.106,0.0125,0.0326,24295000000,12663000000,1.12,1.611,0.176,168.42,6,27,15,1,0,102.03,24.88,7.63,3.302,7.65,38.89,1.706,227.3,112.8,127.22,147.97,1622810000,None,1995-04-27,114.27,0.03,0.18,0.18,0.01,-0.17
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",https://www.adobe.com,November,2024-11-30,190922588000,8134000000,35.43,1.431,32.69,None,None,12.38,46.48,0.256,0.368,0.16,0.354,20946999000,18571000000,12.38,0.233,0.106,573.34,9,18,10,1,1,35.43,21.46,9.11,13.5,8.77,23.7,1.299,628.07,403.75,467.16,502.66,435300000,None,2005-03-24,438.60,0.03,0.15,0.15,0.5,0.35
