Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate,PricePerShare,cost-of-debt,cost-of-equity,WACC,ROIC,ROIC-WACC
HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2024-10-31,409245712000,24758000000,27.93,5.31,5.84,2.25,0.0218,14.75,156.16,0.0945,0.135,0.153,0.405,154596000000,51782001000,14.75,-0.037,0.066,430.64,5,21,12,2,0,27.93,26.04,2.647,70.73,3.047,18.86,1.011,437.07,317.92,408.61,375.74,993363000,2024-12-12,2024-11-27,411.98,0.04,0.13,0.12,0.44,0.32
PG,Common Stock,Procter & Gamble Company,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health, consumer health, personal care, and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages.",80424,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, US",https://www.pginvestor.com,June,2024-12-31,395716854000,24039999000,26.92,3.52,21.0,0,0.0249,6.27,35.57,0.171,0.278,0.106,0.288,83905004000,43426001000,6.27,-0.121,-0.006,178.47,4,13,10,0,1,26.92,23.92,4.716,7.73,4.914,17.8,0.414,179.34,150.79,168.75,168.02,2344850000,2025-02-18,2025-01-24,168.76,0.03,0.08,0.07,0.22,0.15
NFLX,Common Stock,Netflix Inc,"Netflix, Inc. is an American over-the-top content platform and production company headquartered in Los Gatos, California. Netflix was founded in 1997 by Reed Hastings and Marc Randolph in Scotts Valley, California. The company's primary business is a subscription-based streaming service offering online streaming from a library of films and television series, including those produced in-house.",1065280,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-VIDEO TAPE RENTAL,"100 WINCHESTER CIRCLE, ., LOS GATOS, CA, US",https://www.netflix.com,December,2024-12-31,417815921000,9976899000,49.26,2.419,53.15,None,None,19.83,87.11,0.207,0.296,0.118,0.347,37587280000,17008693000,19.83,0.448,0.15,1063.72,7,24,13,0,2,49.26,39.84,11.12,16.89,10.87,16.11,1.25,999,542.01,903.92,730.53,427757000,None,None,976.76,0.03,0.15,0.14,0.24,0.1
JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",https://www.jnj.com,December,2024-09-30,366319370000,30052000000,26.23,0.965,29.14,0,0.0335,5.8,36.43,0.167,0.245,0.084,0.209,87695999000,60852998000,5.8,-0.891,0.052,168.45,4,7,11,0,0,26.23,14.37,4.177,5.22,4.298,17.97,0.518,167.51,139.79,148.35,153.75,2407620000,2025-03-04,2025-02-18,152.15,0.02,0.09,0.08,0.38,0.3
BAC,Common Stock,Bank of America Corp,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.",70858,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, US",https://www.bankofamerica.com,December,2024-12-31,352382812000,None,14.42,2.051,35.37,0,0.0221,3.21,11.95,0.249,0.308,0.0073,0.0809,94625997000,94625997000,3.21,-0.1,-0.005,52.31,7,11,3,0,1,14.42,12.52,3.724,1.294,6.89,-,1.325,47.81,31.55,45.91,41.55,7610860000,2025-03-28,2024-12-06,46.30,0.17,0.15,0.16,0.26,0.1
ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",https://www.abbvie.com,December,2024-09-30,324977033000,25629999000,76.95,0.434,3.413,0,0.0373,2.39,31.4,0.0922,0.289,0.0772,0.564,55532999000,39059001000,2.39,-0.123,0.038,203.34,6,12,10,0,0,76.95,15.34,5.85,53.88,6.9,42.55,0.613,205.38,149.56,175.75,178.91,1767140000,2025-02-14,2025-01-15,183.90,0.03,0.09,0.08,0.12,0.03
CRM,Common Stock,Salesforce.com Inc,"Salesforce.com, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.",1108524,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"THE LANDMARK, ONE MARKET STREET STE.300, SAN FRANCISCO, CA, US",https://www.salesforce.com,January,2024-10-31,327006913000,9345000000,56.2,1.537,61.43,0,0.0048,6.08,37.63,0.154,0.202,0.0471,0.0973,36465000000,27840999000,6.08,0.148,0.084,395.89,13,25,13,0,1,56.2,30.58,8.97,5.59,8.76,29.89,1.288,368.58,211.1,338.44,285.23,957000000,2025-01-09,2024-09-18,341.70,0.0,0.15,0.14,0.07,-0.08
